Class,COP,Tcd-sub,Tcd-app
0,3.765,4.911,2.319
0,3.405,3.778,1.822
0,2.425,2.611,1.009
0,4.512,5.8,3.376
0,4.748,4.589,2.752
0,4.513,3.356,1.892
0,3.503,2.244,1.272
0,3.593,4.878,2.706
0,3.252,3.7,1.72
0,2.463,2.578,1.102
0,4.274,5.422,3.323
0,4.684,4.989,3.14
0,4.641,3.589,2.188
0,3.038,1.989,1.061
0,3.763,4.656,2.687
0,3.342,3.456,1.926
0,2.526,2.6,1.108
0,4.411,5.411,3.383
0,4.029,3.844,2.128
0,4.443,3.556,2.121
0,3.151,2.333,1.224
1,3.587,6.656,4.497
1,3.198,5.767,3.881
1,2.416,4.333,2.793
1,2.414,3.811,2.722
1,4.525,7.256,5.359
1,4.232,6.022,4.557
1,3.424,4.544,3.538
1,3.382,6.533,4.602
1,3.017,5.667,3.907
1,3.73,5.933,4.372
1,2.395,3.989,2.884
1,4.46,7.356,5.567
1,4.166,6.044,4.697
1,2.974,4.456,3.339
1,3.568,7.033,4.71
1,3.162,6.044,4.07
1,2.382,4.544,3.116
1,4.263,7.567,5.672
1,3.757,5.967,4.368
1,4.132,6.589,4.793
1,2.944,4.811,3.47
0,3.947,3.567,1.914
0,2.434,1.967,0.873
0,3.678,3.389,1.907
0,2.517,2.133,1.039
0,2.815,2.122,0.946
0,4.785,5.1,3.052
1,4.33,7.656,5.513
1,3.716,5.633,4.082
1,2.309,4.489,2.954
1,4.059,7.467,5.501
1,2.615,4.511,3.239
1,4.539,7.667,5.55
