Date/Time;DryBulb [C];DewPoint [C];RelHum [%];GloHorzRad [Wh/m2];DirNormRad [Wh/m2];DifHorzRad [Wh/m2] 
 07/21  01:00:00;21.60;13.30;59.00;0.00;0.00;0.00
 07/21  02:00:00;21.10;13.80;63.00;0.00;0.00;0.00
 07/21  03:00:00;18.80;13.80;73.00;0.00;0.00;0.00
 07/21  04:00:00;18.30;14.40;78.00;0.00;0.00;0.00
 07/21  05:00:00;17.90;14.60;81.00;0.00;2.00;0.00
 07/21  06:00:00;18.80;15.00;79.00;52.00;262.00;26.00
 07/21  07:00:00;21.60;14.40;64.00;232.00;607.00;53.00
 07/21  08:00:00;23.90;15.60;60.00;446.00;760.00;76.00
 07/21  09:00:00;25.60;16.10;56.00;650.00;840.00;95.00
 07/21  10:00:00;27.20;17.20;54.00;819.00;885.00;109.00
 07/21  11:00:00;28.30;16.70;49.00;929.00;892.00;124.00
 07/21  12:00:00;30.60;13.90;36.00;1003.00;921.00;123.00
 07/21  13:00:00;31.70;13.90;34.00;1006.00;921.00;123.00
 07/21  14:00:00;32.20;14.40;34.00;946.00;910.00;119.00
 07/21  15:00:00;33.30;13.90;31.00;829.00;885.00;110.00
 07/21  16:00:00;33.90;13.30;29.00;663.00;842.00;97.00
 07/21  17:00:00;33.80;11.60;26.00;462.00;765.00;78.00
 07/21  18:00:00;32.70;12.20;29.00;248.00;621.00;55.00
 07/21  19:00:00;30.50;11.60;31.00;63.00;299.00;29.00
 07/21  20:00:00;25.50;11.60;42.00;0.00;6.00;0.00
 07/21  21:00:00;23.80;11.60;46.00;0.00;0.00;0.00
 07/21  22:00:00;23.80;13.30;52.00;0.00;0.00;0.00
 07/21  23:00:00;22.20;12.70;55.00;0.00;0.00;0.00
 07/21  24:00:00;21.60;13.30;59.00;0.00;0.00;0.00
 07/22  01:00:00;20.00;14.40;70.00;0.00;0.00;0.00
 07/22  02:00:00;18.80;15.50;81.00;0.00;0.00;0.00
 07/22  03:00:00;17.70;15.50;87.00;0.00;0.00;0.00
 07/22  04:00:00;17.20;14.40;84.00;0.00;0.00;0.00
 07/22  05:00:00;17.20;14.40;84.00;0.00;0.00;0.00
 07/22  06:00:00;18.80;14.40;76.00;43.00;125.00;31.00
 07/22  07:00:00;21.10;15.00;68.00;209.00;466.00;73.00
 07/22  08:00:00;23.30;15.00;60.00;422.00;646.00;108.00
 07/22  09:00:00;23.90;14.40;55.00;626.00;744.00;137.00
 07/22  10:00:00;27.20;13.30;42.00;798.00;801.00;157.00
 07/22  11:00:00;27.80;12.20;38.00;921.00;833.00;170.00
 07/22  12:00:00;29.40;12.20;35.00;986.00;848.00;176.00
 07/22  13:00:00;30.60;12.80;34.00;989.00;848.00;176.00
 07/22  14:00:00;31.70;11.70;29.00;930.00;836.00;170.00
 07/22  15:00:00;32.20;13.30;32.00;812.00;806.00;158.00
 07/22  16:00:00;33.30;12.20;28.00;644.00;752.00;138.00
 07/22  17:00:00;32.70;12.70;30.00;441.00;659.00;111.00
 07/22  18:00:00;32.20;11.60;28.00;227.00;488.00;76.00
 07/22  19:00:00;30.00;12.20;33.00;53.00;159.00;35.00
 07/22  20:00:00;24.40;13.30;50.00;0.00;0.00;0.00
 07/22  21:00:00;22.70;13.30;55.00;0.00;0.00;0.00
 07/22  22:00:00;21.60;13.30;59.00;0.00;0.00;0.00
 07/22  23:00:00;21.60;13.80;61.00;0.00;0.00;0.00
 07/22  24:00:00;19.40;13.30;68.00;0.00;0.00;0.00
 07/23  01:00:00;20.00;13.80;67.00;0.00;0.00;0.00
 07/23  02:00:00;18.30;14.40;78.00;0.00;0.00;0.00
 07/23  03:00:00;17.20;14.40;84.00;0.00;0.00;0.00
 07/23  04:00:00;16.10;13.80;86.00;0.00;0.00;0.00
 07/23  05:00:00;16.10;13.30;83.00;0.00;0.00;0.00
