Date/Time;Electricity:Facility [kW](Hourly);Heating:Electricity [kW](Hourly);Cooling:Electricity [kW](Hourly);HVACFan:Fans:Electricity [kW](Hourly);Electricity:HVAC [kW](Hourly);General:InteriorLights:Electricity [kW](Hourly);General:ExteriorLights:Electricity [kW](Hourly);Appl:InteriorEquipment:Electricity [kW](Hourly);Misc:InteriorEquipment:Electricity [kW](Hourly);;;;
 07/21  01:00:00;0.56;0.00;0.08;0.03;0.11;0.08;0.02;0.08;0.27;;;;
 07/21  02:00:00;0.41;0.00;0.01;0.00;0.01;0.05;0.01;0.07;0.26;;;;
 07/21  03:00:00;0.50;0.00;0.08;0.03;0.12;0.05;0.01;0.06;0.26;;;;
 07/21  04:00:00;0.48;0.00;0.07;0.03;0.09;0.05;0.01;0.07;0.25;;;;
 07/21  05:00:00;0.51;0.00;0.05;0.02;0.08;0.05;0.01;0.09;0.28;;;;
 07/21  06:00:00;0.66;0.00;0.08;0.03;0.11;0.07;0.02;0.14;0.32;;;;
 07/21  07:00:00;0.71;0.00;0.01;0.00;0.01;0.12;0.03;0.21;0.34;;;;
 07/21  08:00:00;0.82;0.00;0.11;0.04;0.15;0.09;0.02;0.27;0.29;;;;
 07/21  09:00:00;0.95;0.00;0.23;0.08;0.31;0.05;0.01;0.33;0.25;;;;
 07/21  10:00:00;1.15;0.00;0.38;0.13;0.50;0.04;0.01;0.35;0.25;;;;
 07/21  11:00:00;1.26;0.00;0.45;0.15;0.60;0.04;0.01;0.36;0.25;;;;
 07/21  12:00:00;1.46;0.00;0.61;0.19;0.80;0.04;0.01;0.35;0.25;;;;
 07/21  13:00:00;1.64;0.00;0.77;0.23;1.01;0.04;0.01;0.32;0.26;;;;
 07/21  14:00:00;1.83;0.00;0.93;0.28;1.21;0.04;0.01;0.29;0.27;;;;
 07/21  15:00:00;2.12;0.00;1.14;0.33;1.48;0.04;0.01;0.30;0.29;;;;
 07/21  16:00:00;2.37;0.00;1.26;0.36;1.63;0.05;0.01;0.34;0.34;;;;
 07/21  17:00:00;2.79;0.00;1.47;0.42;1.89;0.05;0.01;0.42;0.41;;;;
 07/21  18:00:00;2.67;0.00;1.34;0.40;1.74;0.09;0.02;0.38;0.45;;;;
 07/21  19:00:00;2.45;0.00;1.12;0.35;1.47;0.16;0.03;0.32;0.46;;;;
 07/21  20:00:00;2.21;0.00;0.81;0.28;1.09;0.29;0.06;0.28;0.48;;;;
 07/21  21:00:00;2.05;0.00;0.59;0.21;0.80;0.43;0.09;0.27;0.47;;;;
 07/21  22:00:00;1.72;0.00;0.49;0.18;0.67;0.36;0.07;0.22;0.40;;;;
 07/21  23:00:00;1.13;0.00;0.24;0.09;0.33;0.25;0.05;0.15;0.35;;;;
 07/21  24:00:00;0.71;0.00;0.12;0.04;0.16;0.13;0.03;0.10;0.29;;;;
 07/22  01:00:00;0.68;0.00;0.17;0.06;0.23;0.08;0.02;0.09;0.27;;;;
 07/22  02:00:00;0.56;0.00;0.12;0.05;0.16;0.05;0.01;0.07;0.26;;;;
 07/22  03:00:00;0.49;0.00;0.07;0.03;0.10;0.05;0.01;0.07;0.26;;;;
 07/22  04:00:00;0.45;0.00;0.04;0.02;0.06;0.05;0.01;0.08;0.25;;;;
 07/22  05:00:00;0.48;0.00;0.03;0.01;0.04;0.05;0.01;0.09;0.28;;;;
 07/22  06:00:00;0.56;0.00;0.00;0.00;0.00;0.07;0.02;0.15;0.32;;;;
 07/22  07:00:00;0.84;0.00;0.09;0.03;0.12;0.12;0.03;0.23;0.34;;;;
 07/22  08:00:00;0.87;0.00;0.12;0.04;0.16;0.09;0.02;0.30;0.29;;;;
 07/22  09:00:00;0.94;0.00;0.19;0.07;0.26;0.05;0.01;0.38;0.25;;;;
 07/22  10:00:00;1.17;0.00;0.35;0.12;0.46;0.04;0.01;0.40;0.25;;;;
 07/22  11:00:00;1.27;0.00;0.41;0.14;0.55;0.04;0.01;0.41;0.25;;;;
 07/22  12:00:00;1.41;0.00;0.54;0.17;0.71;0.04;0.01;0.40;0.25;;;;
 07/22  13:00:00;1.56;0.00;0.68;0.21;0.89;0.04;0.01;0.36;0.26;;;;
 07/22  14:00:00;1.77;0.00;0.85;0.26;1.11;0.04;0.01;0.33;0.27;;;;
 07/22  15:00:00;2.03;0.00;1.04;0.31;1.35;0.04;0.01;0.34;0.29;;;;
 07/22  16:00:00;2.30;0.00;1.18;0.34;1.52;0.05;0.01;0.38;0.34;;;;
 07/22  17:00:00;2.67;0.00;1.34;0.40;1.73;0.05;0.01;0.46;0.41;;;;
 07/22  18:00:00;2.59;0.00;1.25;0.37;1.62;0.09;0.02;0.42;0.45;;;;
 07/22  19:00:00;2.40;0.00;1.05;0.33;1.39;0.16;0.03;0.35;0.46;;;;
 07/22  20:00:00;2.16;0.00;0.74;0.26;1.01;0.29;0.06;0.32;0.48;;;;
 07/22  21:00:00;2.08;0.00;0.58;0.21;0.79;0.43;0.09;0.30;0.47;;;;
 07/22  22:00:00;1.69;0.00;0.45;0.17;0.62;0.36;0.07;0.24;0.40;;;;
 07/22  23:00:00;1.28;0.00;0.34;0.13;0.47;0.25;0.05;0.16;0.35;;;;
 07/22  24:00:00;0.85;0.00;0.22;0.08;0.30;0.13;0.03;0.10;0.29;;;;
 07/23  01:00:00;0.67;0.00;0.16;0.06;0.22;0.08;0.02;0.09;0.27;;;;
 07/23  02:00:00;0.53;0.00;0.09;0.04;0.13;0.05;0.01;0.07;0.26;;;;
 07/23  03:00:00;0.46;0.00;0.05;0.02;0.07;0.05;0.01;0.07;0.26;;;;
 07/23  04:00:00;0.40;0.00;0.01;0.00;0.02;0.05;0.01;0.08;0.25;;;;
 07/23  05:00:00;0.44;0.00;0.00;0.00;0.00;0.05;0.01;0.09;0.28;;;;
 07/23  06:00:00;0.56;0.00;0.00;0.00;0.00;0.07;0.02;0.15;0.32;;;;
 07/23  07:00:00;0.79;0.00;0.05;0.02;0.07;0.12;0.03;0.23;0.34;;;;
 07/23  08:00:00;0.81;0.00;0.08;0.03;0.10;0.09;0.02;0.30;0.29;;;;
 07/23  09:00:00;0.90;0.00;0.16;0.06;0.22;0.05;0.01;0.38;0.25;;;;
 07/23  10:00:00;1.03;0.00;0.24;0.08;0.33;0.04;0.01;0.40;0.25;;;;
 07/23  11:00:00;1.20;0.00;0.36;0.12;0.48;0.04;0.01;0.41;0.25;;;;
 07/23  12:00:00;1.34;0.00;0.48;0.16;0.64;0.04;0.01;0.40;0.25;;;;
 07/23  13:00:00;1.52;0.00;0.65;0.20;0.85;0.04;0.01;0.36;0.26;;;;
 07/23  14:00:00;1.70;0.00;0.80;0.25;1.04;0.04;0.01;0.33;0.27;;;;
 07/23  15:00:00;1.99;0.00;1.01;0.30;1.31;0.04;0.01;0.34;0.29;;;;
 07/23  16:00:00;2.21;0.00;1.10;0.33;1.43;0.05;0.01;0.38;0.34;;;;
