Date (GMT+1),Nuclear,Non-Renewable,Renewable,Day Ahead Auction
,Power (MW),Power (MW),Power (MW),"Price (EUR/MWh, EUR/tCO2)"
2020-01-01T00:00+01:00,8095.91,17787,13836.68,41.88
2020-01-01T01:00+01:00,8090.67,17319.13,14375.36,38.6
2020-01-01T02:00+01:00,8094.48,16953.42,14753.98,36.55
2020-01-01T03:00+01:00,8081.44,17119.48,14851.5,32.32
2020-01-01T04:00+01:00,8075.84,17105.96,15109.98,30.85
2020-01-01T05:00+01:00,8069.88,17159.83,15184.55,30.14
2020-01-01T06:00+01:00,8074.98,17205.2,15098.99,30.17
2020-01-01T07:00+01:00,8095.98,17204.98,14950.78,30
2020-01-01T08:00+01:00,8095.82,17828.94,14773.39,30.65
2020-01-01T09:00+01:00,8095.07,18107.74,16750.54,30.65
2020-01-01T10:00+01:00,8084,18293.86,20809.84,30.27
2020-01-01T11:00+01:00,7939.17,18500.65,24160.42,30.34
2020-01-01T12:00+01:00,7646.1,18428.79,26295.45,30.99
2020-01-01T13:00+01:00,7760.7,18070.33,26960.4,30.04
2020-01-01T14:00+01:00,8050.25,18657.89,24154.13,30.75
2020-01-01T15:00+01:00,8084.87,19277.35,19276.32,32.11
2020-01-01T16:00+01:00,8087.98,19862.76,15605.55,35.98
2020-01-01T17:00+01:00,8075.2,20078.14,17322.05,40.4
2020-01-01T18:00+01:00,8075.65,20138.07,19171.33,44.05
2020-01-01T19:00+01:00,8086.33,19540.83,21003.16,43.15
2020-01-01T20:00+01:00,8086.4,19783.73,21491.76,43.45
2020-01-01T21:00+01:00,8083.26,19647.68,21608.87,40.68
2020-01-01T22:00+01:00,8074.14,19611.8,21067.56,40.27
2020-01-01T23:00+01:00,8074.73,19272.73,19771.49,34.85
2020-01-02T00:00+01:00,8076.95,18712.95,19843.06,35.4
2020-01-02T01:00+01:00,8095.47,18625.76,19390.56,31.98
2020-01-02T02:00+01:00,8097.6,18391.21,19392.32,30.5
2020-01-02T03:00+01:00,8097.22,17849.24,19014.05,28.79
2020-01-02T04:00+01:00,8097.51,16579.11,18709.17,28.42
2020-01-02T05:00+01:00,8083.6,16764.49,19162.13,28.75
2020-01-02T06:00+01:00,8025.26,18430.25,20023.49,34.16
2020-01-02T07:00+01:00,7758.39,19622.53,21284.63,42.07
2020-01-02T08:00+01:00,8087.06,20830.58,21711.03,44.89
2020-01-02T09:00+01:00,8104.98,21620.52,24448.91,45.26
2020-01-02T10:00+01:00,8006.93,22042.65,27745.91,45.57
2020-01-02T11:00+01:00,8012.4,21898.58,30218.84,45.09
2020-01-02T12:00+01:00,8009.71,21885.63,30496.2,45.16
2020-01-02T13:00+01:00,8003.1,21988.87,28959.71,44.9
2020-01-02T14:00+01:00,8006.68,21994.03,27508.96,44.06
2020-01-02T15:00+01:00,8006.54,21303.86,25103.78,44.84
2020-01-02T16:00+01:00,8085.27,21282.41,24088.63,44.4
2020-01-02T17:00+01:00,7998.28,21177.13,25890.79,46.05
2020-01-02T18:00+01:00,7998.34,21643.54,28324.89,46.72
2020-01-02T19:00+01:00,7897.14,22114.4,30220.94,45.26
2020-01-02T20:00+01:00,7898.5,21728.67,30749.54,39.32
2020-01-02T21:00+01:00,7877.73,20110.54,31705.21,34.06
2020-01-02T22:00+01:00,7886.42,19048.46,31951.13,32.22
2020-01-02T23:00+01:00,7887.95,16724.14,32099.69,24.99
2020-01-03T00:00+01:00,7890.05,15487,32902.35,21.47
2020-01-03T01:00+01:00,7896.65,14732.83,34417.84,13.04
2020-01-03T02:00+01:00,7886.44,13923.29,35289.53,1.53
2020-01-03T03:00+01:00,7855.01,13641.22,35942.81,0.14
2020-01-03T04:00+01:00,7776.76,13624.6,37276.15,0.85
2020-01-03T05:00+01:00,7683.82,13815.48,38524.12,9.92
2020-01-03T06:00+01:00,7739,14599.25,39835.11,24.48
2020-01-03T07:00+01:00,7721.31,16115.84,40769.88,26.68
2020-01-03T08:00+01:00,7542.52,17696.98,41524.9,28.81
2020-01-03T09:00+01:00,7755.71,18397.9,42230.18,29.28
2020-01-03T10:00+01:00,7773.87,18638.03,43073.17,28.85
2020-01-03T11:00+01:00,7730.31,18916.89,45053.78,31.8
2020-01-03T12:00+01:00,7739.63,19244.35,44605.85,37.94
2020-01-03T13:00+01:00,7745.85,19315.96,42984.81,37.9
2020-01-03T14:00+01:00,7672.99,18734.63,42987.89,38.11
2020-01-03T15:00+01:00,7678.49,18724.38,41010.92,37.91
2020-01-03T16:00+01:00,7553.69,18881.41,41413.75,38.44
2020-01-03T17:00+01:00,7620.02,18920.17,41762.59,40.47
2020-01-03T18:00+01:00,7291.85,18615.31,43373.32,41.35
2020-01-03T19:00+01:00,7055.83,17300.41,43616.95,33.37
2020-01-03T20:00+01:00,7371.95,16339.29,42143.98,28.89
2020-01-03T21:00+01:00,7641.53,15282.88,41828.48,27.7
2020-01-03T22:00+01:00,7721.91,14377.51,40676.96,25.7
2020-01-03T23:00+01:00,7810.37,14038.18,40227.82,22.04
2020-01-04T00:00+01:00,7781.38,12814.36,39516.98,22.9
2020-01-04T01:00+01:00,7736.26,12665.58,38808.71,15.95
2020-01-04T02:00+01:00,7769.33,13138.93,37456.18,16.63
2020-01-04T03:00+01:00,7755.17,13633.18,36402.14,6.45
2020-01-04T04:00+01:00,7664.12,12770.03,37361.17,3.83
2020-01-04T05:00+01:00,7740.67,13225.09,39167.32,0.12
2020-01-04T06:00+01:00,7699.76,13237.58,41678.71,0.07
2020-01-04T07:00+01:00,7570.27,13722.2,42405.77,19.07
2020-01-04T08:00+01:00,7560.25,14698.81,43397.07,17.49
2020-01-04T09:00+01:00,7301.09,15376.35,45397.19,23.98
2020-01-04T10:00+01:00,7241.65,15255.24,47991.51,8.8
2020-01-04T11:00+01:00,7267.18,15055.27,49769.46,17.95
2020-01-04T12:00+01:00,7302.97,15667.69,50988.34,19.5
2020-01-04T13:00+01:00,7311.75,15048.69,50684.71,13.74
2020-01-04T14:00+01:00,7290.37,15998.6,49492.1,17.42
2020-01-04T15:00+01:00,7260.63,16375.52,46852.66,20.38
2020-01-04T16:00+01:00,7281.06,16747.3,45771.91,25.08
2020-01-04T17:00+01:00,7376.39,18783.49,44270.69,28.88
2020-01-04T18:00+01:00,7480.63,19505.05,43021.66,32.02
2020-01-04T19:00+01:00,7541.41,19370.46,40181.32,35.35
2020-01-04T20:00+01:00,7613.72,19340.91,37362.15,29.98
2020-01-04T21:00+01:00,7601.74,19299.51,34107.19,34.46
2020-01-04T22:00+01:00,7883.01,19611.74,30098.86,39.75
2020-01-04T23:00+01:00,7907.88,19937.46,27317.97,37.95
2020-01-05T00:00+01:00,7866.53,18703.13,25002.5,33.1
2020-01-05T01:00+01:00,7830.08,18418.09,22866.85,32.28
2020-01-05T02:00+01:00,7866.49,17670.27,21217.74,31.18
2020-01-05T03:00+01:00,8080.86,17589.07,19969.83,30.1
2020-01-05T04:00+01:00,8082.27,17740.58,18989.56,29.96
2020-01-05T05:00+01:00,8071.73,17959.65,18843.72,29.88
2020-01-05T06:00+01:00,8071.52,18223.63,18401.25,30.38
2020-01-05T07:00+01:00,8067.8,18590.26,17946.36,31.15
2020-01-05T08:00+01:00,8076.9,19250.74,17507.71,32.09
2020-01-05T09:00+01:00,8055.51,20310.91,18466.22,34.27
2020-01-05T10:00+01:00,8062.68,20670.33,20592.74,37.53
2020-01-05T11:00+01:00,8077.56,21073.24,22447.07,38.99
2020-01-05T12:00+01:00,8075.9,20968.74,23205.55,38.15
2020-01-05T13:00+01:00,8071.73,20941.79,22309.1,35.37
2020-01-05T14:00+01:00,8064.54,20992.33,21306.94,34.44
2020-01-05T15:00+01:00,8056.41,21320.68,20184.87,36.1
2020-01-05T16:00+01:00,7979.3,21652.98,20412.52,40.59
2020-01-05T17:00+01:00,7942.97,22174.94,22290.59,44.68
